dataset,model,pre_trained,transfer_learning,optimizer,image_distortions,batch_size,epochs,learning_rate,momentum,accuracy,acc_per_class
EGGS_8,resnet18,True,True,Adam,True,4,0,0.1,0.9,96.36678200692042,"{'A.lumbricoides': 162, 'Ancilostomideo': 50, 'E.vermicularis': 17, 'H.diminuta': 17, 'H.nana': 99, 'S.mansoni': 50, 'T.trichiura': 87, 'Taenia': 75}"
EGGS_8,resnet18,True,True,Adam,True,4,1,0.1,0.9,96.53979238754326,"{'A.lumbricoides': 160, 'Ancilostomideo': 56, 'E.vermicularis': 19, 'H.diminuta': 17, 'H.nana': 101, 'S.mansoni': 49, 'T.trichiura': 84, 'Taenia': 72}"
EGGS_8,resnet18,True,True,Adam,True,4,2,0.1,0.9,91.17647058823529,"{'A.lumbricoides': 155, 'Ancilostomideo': 36, 'E.vermicularis': 10, 'H.diminuta': 16, 'H.nana': 101, 'S.mansoni': 51, 'T.trichiura': 82, 'Taenia': 76}"
EGGS_8,resnet18,True,True,Adam,True,4,3,0.1,0.9,98.26989619377163,"{'A.lumbricoides': 163, 'Ancilostomideo': 54, 'E.vermicularis': 21, 'H.diminuta': 17, 'H.nana': 101, 'S.mansoni': 49, 'T.trichiura': 87, 'Taenia': 76}"
EGGS_8,resnet18,True,True,Adam,True,4,4,0.1,0.9,98.44290657439447,"{'A.lumbricoides': 165, 'Ancilostomideo': 56, 'E.vermicularis': 19, 'H.diminuta': 17, 'H.nana': 101, 'S.mansoni': 50, 'T.trichiura': 85, 'Taenia': 76}"
EGGS_8,resnet18,True,True,Adam,True,4,5,0.1,0.9,96.36678200692042,"{'A.lumbricoides': 166, 'Ancilostomideo': 54, 'E.vermicularis': 21, 'H.diminuta': 17, 'H.nana': 101, 'S.mansoni': 49, 'T.trichiura': 73, 'Taenia': 76}"
EGGS_8,resnet18,True,True,Adam,True,4,6,0.1,0.9,98.09688581314879,"{'A.lumbricoides': 165, 'Ancilostomideo': 57, 'E.vermicularis': 18, 'H.diminuta': 17, 'H.nana': 100, 'S.mansoni': 50, 'T.trichiura': 86, 'Taenia': 74}"
EGGS_8,resnet18,True,True,Adam,True,4,7,0.1,0.9,97.92387543252595,"{'A.lumbricoides': 162, 'Ancilostomideo': 54, 'E.vermicularis': 21, 'H.diminuta': 17, 'H.nana': 101, 'S.mansoni': 51, 'T.trichiura': 84, 'Taenia': 76}"
EGGS_8,resnet18,True,True,Adam,True,4,8,0.1,0.9,98.78892733564014,"{'A.lumbricoides': 166, 'Ancilostomideo': 55, 'E.vermicularis': 21, 'H.diminuta': 17, 'H.nana': 100, 'S.mansoni': 50, 'T.trichiura': 86, 'Taenia': 76}"
EGGS_8,resnet18,True,True,Adam,True,4,9,0.1,0.9,98.6159169550173,"{'A.lumbricoides': 166, 'Ancilostomideo': 55, 'E.vermicularis': 21, 'H.diminuta': 17, 'H.nana': 100, 'S.mansoni': 50, 'T.trichiura': 85, 'Taenia': 76}"
EGGS_8,resnet18,True,True,Adam,True,4,10,0.1,0.9,97.92387543252595,"{'A.lumbricoides': 167, 'Ancilostomideo': 54, 'E.vermicularis': 21, 'H.diminuta': 17, 'H.nana': 99, 'S.mansoni': 46, 'T.trichiura': 86, 'Taenia': 76}"
EGGS_8,resnet18,True,True,Adam,True,4,11,0.1,0.9,97.92387543252595,"{'A.lumbricoides': 166, 'Ancilostomideo': 55, 'E.vermicularis': 15, 'H.diminuta': 17, 'H.nana': 100, 'S.mansoni': 51, 'T.trichiura': 86, 'Taenia': 76}"
EGGS_8,resnet18,True,True,Adam,True,4,12,0.1,0.9,98.44290657439447,"{'A.lumbricoides': 166, 'Ancilostomideo': 55, 'E.vermicularis': 18, 'H.diminuta': 17, 'H.nana': 101, 'S.mansoni': 51, 'T.trichiura': 86, 'Taenia': 75}"
EGGS_8,resnet18,True,True,Adam,True,4,13,0.1,0.9,98.26989619377163,"{'A.lumbricoides': 165, 'Ancilostomideo': 57, 'E.vermicularis': 21, 'H.diminuta': 17, 'H.nana': 100, 'S.mansoni': 49, 'T.trichiura': 86, 'Taenia': 73}"
EGGS_8,resnet18,True,True,Adam,True,4,14,0.1,0.9,97.2318339100346,"{'A.lumbricoides': 166, 'Ancilostomideo': 55, 'E.vermicularis': 21, 'H.diminuta': 17, 'H.nana': 101, 'S.mansoni': 50, 'T.trichiura': 87, 'Taenia': 65}"
EGGS_8,resnet18,True,True,Adam,True,4,15,0.1,0.9,97.92387543252595,"{'A.lumbricoides': 162, 'Ancilostomideo': 54, 'E.vermicularis': 19, 'H.diminuta': 17, 'H.nana': 100, 'S.mansoni': 51, 'T.trichiura': 87, 'Taenia': 76}"
EGGS_8,resnet18,True,True,Adam,True,4,16,0.1,0.9,96.53979238754326,"{'A.lumbricoides': 167, 'Ancilostomideo': 53, 'E.vermicularis': 16, 'H.diminuta': 17, 'H.nana': 100, 'S.mansoni': 46, 'T.trichiura': 83, 'Taenia': 76}"
EGGS_8,resnet18,True,True,Adam,True,4,17,0.1,0.9,98.6159169550173,"{'A.lumbricoides': 165, 'Ancilostomideo': 55, 'E.vermicularis': 21, 'H.diminuta': 17, 'H.nana': 101, 'S.mansoni': 51, 'T.trichiura': 85, 'Taenia': 75}"
EGGS_8,resnet18,True,True,Adam,True,4,18,0.1,0.9,97.92387543252595,"{'A.lumbricoides': 167, 'Ancilostomideo': 56, 'E.vermicularis': 21, 'H.diminuta': 17, 'H.nana': 95, 'S.mansoni': 48, 'T.trichiura': 86, 'Taenia': 76}"
EGGS_8,resnet18,True,True,Adam,True,4,19,0.1,0.9,98.44290657439447,"{'A.lumbricoides': 167, 'Ancilostomideo': 55, 'E.vermicularis': 21, 'H.diminuta': 17, 'H.nana': 98, 'S.mansoni': 49, 'T.trichiura': 87, 'Taenia': 75}"
