dataset,model,pre_trained,transfer_learning,optimizer,image_distortions,batch_size,epochs,learning_rate,momentum,accuracy,acc_per_class
LARVAE_2,inception_v3,True,True,Adam,True,20,0,0.01,0.9,93.76947040498442,"{'S.stercoralis': 37, 'S.stercoralis_Impurities': 264}"
LARVAE_2,inception_v3,True,True,Adam,True,20,1,0.01,0.9,88.78504672897196,"{'S.stercoralis': 14, 'S.stercoralis_Impurities': 271}"
LARVAE_2,inception_v3,True,True,Adam,True,20,2,0.01,0.9,94.39252336448598,"{'S.stercoralis': 37, 'S.stercoralis_Impurities': 266}"
LARVAE_2,inception_v3,True,True,Adam,True,20,3,0.01,0.9,93.76947040498442,"{'S.stercoralis': 35, 'S.stercoralis_Impurities': 266}"
LARVAE_2,inception_v3,True,True,Adam,True,20,4,0.01,0.9,94.39252336448598,"{'S.stercoralis': 34, 'S.stercoralis_Impurities': 269}"
LARVAE_2,inception_v3,True,True,Adam,True,20,5,0.01,0.9,94.39252336448598,"{'S.stercoralis': 36, 'S.stercoralis_Impurities': 267}"
LARVAE_2,inception_v3,True,True,Adam,True,20,6,0.01,0.9,94.0809968847352,"{'S.stercoralis': 46, 'S.stercoralis_Impurities': 256}"
LARVAE_2,inception_v3,True,True,Adam,True,20,7,0.01,0.9,95.01557632398755,"{'S.stercoralis': 41, 'S.stercoralis_Impurities': 264}"
LARVAE_2,inception_v3,True,True,Adam,True,20,8,0.01,0.9,93.45794392523365,"{'S.stercoralis': 47, 'S.stercoralis_Impurities': 253}"
LARVAE_2,inception_v3,True,True,Adam,True,20,9,0.01,0.9,93.76947040498442,"{'S.stercoralis': 33, 'S.stercoralis_Impurities': 268}"
LARVAE_2,inception_v3,True,True,Adam,True,20,10,0.01,0.9,95.6386292834891,"{'S.stercoralis': 42, 'S.stercoralis_Impurities': 265}"
LARVAE_2,inception_v3,True,True,Adam,True,20,11,0.01,0.9,95.32710280373831,"{'S.stercoralis': 40, 'S.stercoralis_Impurities': 266}"
LARVAE_2,inception_v3,True,True,Adam,True,20,12,0.01,0.9,88.47352024922118,"{'S.stercoralis': 13, 'S.stercoralis_Impurities': 271}"
LARVAE_2,inception_v3,True,True,Adam,True,20,13,0.01,0.9,95.6386292834891,"{'S.stercoralis': 42, 'S.stercoralis_Impurities': 265}"
LARVAE_2,inception_v3,True,True,Adam,True,20,14,0.01,0.9,95.6386292834891,"{'S.stercoralis': 41, 'S.stercoralis_Impurities': 266}"
LARVAE_2,inception_v3,True,True,Adam,True,20,15,0.01,0.9,95.01557632398755,"{'S.stercoralis': 40, 'S.stercoralis_Impurities': 265}"
LARVAE_2,inception_v3,True,True,Adam,True,20,16,0.01,0.9,94.0809968847352,"{'S.stercoralis': 45, 'S.stercoralis_Impurities': 257}"
LARVAE_2,inception_v3,True,True,Adam,True,20,17,0.01,0.9,95.32710280373831,"{'S.stercoralis': 39, 'S.stercoralis_Impurities': 267}"
LARVAE_2,inception_v3,True,True,Adam,True,20,18,0.01,0.9,92.5233644859813,"{'S.stercoralis': 27, 'S.stercoralis_Impurities': 270}"
LARVAE_2,inception_v3,True,True,Adam,True,20,19,0.01,0.9,95.6386292834891,"{'S.stercoralis': 40, 'S.stercoralis_Impurities': 267}"
LARVAE_2,inception_v3,True,True,Adam,True,20,20,0.01,0.9,96.26168224299066,"{'S.stercoralis': 43, 'S.stercoralis_Impurities': 266}"
LARVAE_2,inception_v3,True,True,Adam,True,20,21,0.01,0.9,95.6386292834891,"{'S.stercoralis': 40, 'S.stercoralis_Impurities': 267}"
LARVAE_2,inception_v3,True,True,Adam,True,20,22,0.01,0.9,95.32710280373831,"{'S.stercoralis': 37, 'S.stercoralis_Impurities': 269}"
LARVAE_2,inception_v3,True,True,Adam,True,20,23,0.01,0.9,95.95015576323988,"{'S.stercoralis': 44, 'S.stercoralis_Impurities': 264}"
LARVAE_2,inception_v3,True,True,Adam,True,20,24,0.01,0.9,96.26168224299066,"{'S.stercoralis': 42, 'S.stercoralis_Impurities': 267}"
LARVAE_2,inception_v3,True,True,Adam,True,20,25,0.01,0.9,96.26168224299066,"{'S.stercoralis': 42, 'S.stercoralis_Impurities': 267}"
LARVAE_2,inception_v3,True,True,Adam,True,20,26,0.01,0.9,93.76947040498442,"{'S.stercoralis': 32, 'S.stercoralis_Impurities': 269}"
LARVAE_2,inception_v3,True,True,Adam,True,20,27,0.01,0.9,95.32710280373831,"{'S.stercoralis': 39, 'S.stercoralis_Impurities': 267}"
LARVAE_2,inception_v3,True,True,Adam,True,20,28,0.01,0.9,95.95015576323988,"{'S.stercoralis': 42, 'S.stercoralis_Impurities': 266}"
